Company,Year,Ebitda
"Roper Technologies, Inc. (NasdaqGS:ROP)",2023,2497.13
"Roper Technologies, Inc. (NasdaqGS:ROP)",2024,2693.81
"Roper Technologies, Inc. (NasdaqGS:ROP)",2025,2922.92
"Roper Technologies, Inc. (NasdaqGS:ROP)",2026,3547.5
"Roper Technologies, Inc. (NasdaqGS:ROP)",2027,3959
Sony Group Corporation (TSE:6758),2016,3108.7
Sony Group Corporation (TSE:6758),2017,8329.5
Sony Group Corporation (TSE:6758),2018,7805
Sony Group Corporation (TSE:6758),2019,7585.9
Sony Group Corporation (TSE:6758),2020,10498
Sony Group Corporation (TSE:6758),2021,9330.5
Sony Group Corporation (TSE:6758),2022,10943.8
Sony Group Corporation (TSE:6758),2023,13662.94
Sony Group Corporation (TSE:6758),2024,13610.89
Sony Group Corporation (TSE:6758),2025,14839.9
Sony Group Corporation (TSE:6758),2026,15556.42
Sony Group Corporation (TSE:6758),2027,17641.77
Thales S.A. (ENXTPA:HO),2016,1680.7
Thales S.A. (ENXTPA:HO),2017,1695.7
Thales S.A. (ENXTPA:HO),2018,1995.3
Thales S.A. (ENXTPA:HO),2019,2326.3
Thales S.A. (ENXTPA:HO),2020,1834.5
Thales S.A. (ENXTPA:HO),2021,2175.8
Thales S.A. (ENXTPA:HO),2022,2463.9
Thales S.A. (ENXTPA:HO),2023,3002.47
Thales S.A. (ENXTPA:HO),2024,3345.6
Thales S.A. (ENXTPA:HO),2025,3583.72
Thales S.A. (ENXTPA:HO),2026,3983.73
Thales S.A. (ENXTPA:HO),2027,3745.36
Apple Inc. (NasdaqGS:AAPL),2016,69750
Apple Inc. (NasdaqGS:AAPL),2017,74174
Apple Inc. (NasdaqGS:AAPL),2018,79523
Apple Inc. (NasdaqGS:AAPL),2019,78121
Apple Inc. (NasdaqGS:AAPL),2020,378323
Apple Inc. (NasdaqGS:AAPL),2021,128218
Apple Inc. (NasdaqGS:AAPL),2022,125288
Apple Inc. (NasdaqGS:AAPL),2023,125234.33
Apple Inc. (NasdaqGS:AAPL),2024,131815.66
Apple Inc. (NasdaqGS:AAPL),2025,140597.52
Apple Inc. (NasdaqGS:AAPL),2026,156140.5
Apple Inc. (NasdaqGS:AAPL),2027,170869
ASUSTeK Computer Inc. (TWSE:2357),2016,628.7
ASUSTeK Computer Inc. (TWSE:2357),2017,573.6
ASUSTeK Computer Inc. (TWSE:2357),2018,563.9
ASUSTeK Computer Inc. (TWSE:2357),2019,410.3
ASUSTeK Computer Inc. (TWSE:2357),2020,848.7
ASUSTeK Computer Inc. (TWSE:2357),2021,1609.4
ASUSTeK Computer Inc. (TWSE:2357),2022,453.8
ASUSTeK Computer Inc. (TWSE:2357),2023,315.11
ASUSTeK Computer Inc. (TWSE:2357),2024,720.19
ASUSTeK Computer Inc. (TWSE:2357),2025,804.5
ASUSTeK Computer Inc. (TWSE:2357),2026,1184.8392857142505
ASUSTeK Computer Inc. (TWSE:2357),2027,1250.2571428571016
BorgWarner Inc. (NYSE:BWA),2016,1511.2
BorgWarner Inc. (NYSE:BWA),2017,1630
BorgWarner Inc. (NYSE:BWA),2018,1729
BorgWarner Inc. (NYSE:BWA),2019,1642
BorgWarner Inc. (NYSE:BWA),2020,1509
BorgWarner Inc. (NYSE:BWA),2021,2224
BorgWarner Inc. (NYSE:BWA),2022,2242
BorgWarner Inc. (NYSE:BWA),2023,2016.93
BorgWarner Inc. (NYSE:BWA),2024,2204.1
BorgWarner Inc. (NYSE:BWA),2025,2430.51
BorgWarner Inc. (NYSE:BWA),2026,2510.25
BorgWarner Inc. (NYSE:BWA),2027,2531
Ciena Corporation (NYSE:CIEN),2016,316.6
Ciena Corporation (NYSE:CIEN),2017,340.2
Ciena Corporation (NYSE:CIEN),2018,396.1
Ciena Corporation (NYSE:CIEN),2019,534.8
Ciena Corporation (NYSE:CIEN),2020,641.3
Ciena Corporation (NYSE:CIEN),2021,603
Ciena Corporation (NYSE:CIEN),2022,422.7
Ciena Corporation (NYSE:CIEN),2023,655.09
Ciena Corporation (NYSE:CIEN),2024,758.31
Ciena Corporation (NYSE:CIEN),2025,897.27
Ciena Corporation (NYSE:CIEN),2026,737.2321428571406
Ciena Corporation (NYSE:CIEN),2027,776.1285714285674
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2016,1055.2
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2017,894.8
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2018,868.2
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2019,944.7
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2020,1091.3
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2021,1031.8
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2022,1202.1
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2023,1045.84
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2024,1151.57
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2025,1250.5
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2026,1247.0357142857
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2027,1280.528571428552
Alphabet Inc. (NasdaqGS:GOOGL),2016,29816
Alphabet Inc. (NasdaqGS:GOOGL),2017,35813
Alphabet Inc. (NasdaqGS:GOOGL),2018,41624
Alphabet Inc. (NasdaqGS:GOOGL),2019,47579
Alphabet Inc. (NasdaqGS:GOOGL),2020,54903
Alphabet Inc. (NasdaqGS:GOOGL),2021,91144
Alphabet Inc. (NasdaqGS:GOOGL),2022,90771
Alphabet Inc. (NasdaqGS:GOOGL),2023,122127.42
Alphabet Inc. (NasdaqGS:GOOGL),2024,140050.58
Alphabet Inc. (NasdaqGS:GOOGL),2025,158201.67
Alphabet Inc. (NasdaqGS:GOOGL),2026,174516.57
Alphabet Inc. (NasdaqGS:GOOGL),2027,192524.2
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2016,1050.7
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2017,1157.9
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2018,1364.7
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2019,1574.5
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2020,1320.6
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2021,2128.4
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2022,1959
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2023,2772.68
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2024,3208.4
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2025,3660.68
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2026,4028.87
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",2027,4760
"Itron, Inc. (NasdaqGS:ITRI)",2016,213.4
"Itron, Inc. (NasdaqGS:ITRI)",2017,221.1
"Itron, Inc. (NasdaqGS:ITRI)",2018,238.7
"Itron, Inc. (NasdaqGS:ITRI)",2019,249.7
"Itron, Inc. (NasdaqGS:ITRI)",2020,179.8
"Itron, Inc. (NasdaqGS:ITRI)",2021,121
"Itron, Inc. (NasdaqGS:ITRI)",2022,84.6
"Itron, Inc. (NasdaqGS:ITRI)",2023,175.17
"Itron, Inc. (NasdaqGS:ITRI)",2024,219.21
"Itron, Inc. (NasdaqGS:ITRI)",2025,291.32
"Itron, Inc. (NasdaqGS:ITRI)",2026,25.525000000007317
"Itron, Inc. (NasdaqGS:ITRI)",2027,2.4714285714382207
"Juniper Networks, Inc. (NYSE:JNPR)",2016,1105.6
"Juniper Networks, Inc. (NYSE:JNPR)",2017,1136.1
"Juniper Networks, Inc. (NYSE:JNPR)",2018,790.1
"Juniper Networks, Inc. (NYSE:JNPR)",2019,687.8
"Juniper Networks, Inc. (NYSE:JNPR)",2020,633.5
"Juniper Networks, Inc. (NYSE:JNPR)",2021,667.8
"Juniper Networks, Inc. (NYSE:JNPR)",2022,757
"Juniper Networks, Inc. (NYSE:JNPR)",2023,1141.61
"Juniper Networks, Inc. (NYSE:JNPR)",2024,1150.34
"Juniper Networks, Inc. (NYSE:JNPR)",2025,1227.68
"Juniper Networks, Inc. (NYSE:JNPR)",2026,1227
"Juniper Networks, Inc. (NYSE:JNPR)",2027,214.27142857152734
Lam Research Corporation (NasdaqGS:LRCX),2016,1607
Lam Research Corporation (NasdaqGS:LRCX),2017,2910.6
Lam Research Corporation (NasdaqGS:LRCX),2018,3387.2
Lam Research Corporation (NasdaqGS:LRCX),2019,2684.4
Lam Research Corporation (NasdaqGS:LRCX),2020,3708.3
Lam Research Corporation (NasdaqGS:LRCX),2021,5541
Lam Research Corporation (NasdaqGS:LRCX),2022,6382.8
Lam Research Corporation (NasdaqGS:LRCX),2023,5562.77
Lam Research Corporation (NasdaqGS:LRCX),2024,4611.96
Lam Research Corporation (NasdaqGS:LRCX),2025,5623.76
Lam Research Corporation (NasdaqGS:LRCX),2026,6517.93
Lam Research Corporation (NasdaqGS:LRCX),2027,7360
Lear Corporation (NYSE:LEA),2016,1840.6
Lear Corporation (NYSE:LEA),2017,2102.9
Lear Corporation (NYSE:LEA),2018,2200.7
Lear Corporation (NYSE:LEA),2019,1767.9
Lear Corporation (NYSE:LEA),2020,1133.3
Lear Corporation (NYSE:LEA),2021,1364.2
Lear Corporation (NYSE:LEA),2022,1391.7
Lear Corporation (NYSE:LEA),2023,1711.1
Lear Corporation (NYSE:LEA),2024,2004
Lear Corporation (NYSE:LEA),2025,2355.56
Lear Corporation (NYSE:LEA),2026,2761.13
Lear Corporation (NYSE:LEA),2027,2938.6
"Mattel, Inc. (NasdaqGS:MAT)",2016,813.8
"Mattel, Inc. (NasdaqGS:MAT)",2017,-69.6
"Mattel, Inc. (NasdaqGS:MAT)",2018,27.4
"Mattel, Inc. (NasdaqGS:MAT)",2019,313.9
"Mattel, Inc. (NasdaqGS:MAT)",2020,573.3
"Mattel, Inc. (NasdaqGS:MAT)",2021,932.7
"Mattel, Inc. (NasdaqGS:MAT)",2022,885.3
"Mattel, Inc. (NasdaqGS:MAT)",2023,964.27
"Mattel, Inc. (NasdaqGS:MAT)",2024,1026.21
"Mattel, Inc. (NasdaqGS:MAT)",2025,1103.35
"Mattel, Inc. (NasdaqGS:MAT)",2026,1355.1
"Mattel, Inc. (NasdaqGS:MAT)",2027,1286.6857142855486
Medtronic plc (NYSE:MDT),2016,29725
Medtronic plc (NYSE:MDT),2017,9076
Medtronic plc (NYSE:MDT),2018,9477
Medtronic plc (NYSE:MDT),2019,9702
Medtronic plc (NYSE:MDT),2020,6585
Medtronic plc (NYSE:MDT),2021,9613
Medtronic plc (NYSE:MDT),2022,8448
Medtronic plc (NYSE:MDT),2023,9338.98
Medtronic plc (NYSE:MDT),2024,8963.96
Medtronic plc (NYSE:MDT),2025,9470.35
Medtronic plc (NYSE:MDT),2026,10018.25
Medtronic plc (NYSE:MDT),2027,10338
Mettler-Toledo International Inc. (NYSE:MTD),2016,588.2
Mettler-Toledo International Inc. (NYSE:MTD),2017,659
Mettler-Toledo International Inc. (NYSE:MTD),2018,740.9
Mettler-Toledo International Inc. (NYSE:MTD),2019,787.5
Mettler-Toledo International Inc. (NYSE:MTD),2020,854.3
Mettler-Toledo International Inc. (NYSE:MTD),2021,1073.8
Mettler-Toledo International Inc. (NYSE:MTD),2022,1216.5
Mettler-Toledo International Inc. (NYSE:MTD),2023,1265.94
Mettler-Toledo International Inc. (NYSE:MTD),2024,1335.53
Mettler-Toledo International Inc. (NYSE:MTD),2025,1455.54
Mettler-Toledo International Inc. (NYSE:MTD),2026,1500.06
Mettler-Toledo International Inc. (NYSE:MTD),2027,1602.77
"AMETEK, Inc. (NYSE:AME)",2016,1007.2
"AMETEK, Inc. (NYSE:AME)",2017,1068.2
"AMETEK, Inc. (NYSE:AME)",2018,1261.6
"AMETEK, Inc. (NYSE:AME)",2019,1411.4
"AMETEK, Inc. (NYSE:AME)",2020,1283.2
"AMETEK, Inc. (NYSE:AME)",2021,1600.8
"AMETEK, Inc. (NYSE:AME)",2022,1820.1
"AMETEK, Inc. (NYSE:AME)",2023,1996.54
"AMETEK, Inc. (NYSE:AME)",2024,2154.29
"AMETEK, Inc. (NYSE:AME)",2025,2349.83
"AMETEK, Inc. (NYSE:AME)",2026,2743.06
"AMETEK, Inc. (NYSE:AME)",2027,3505.22
NEC Corporation (TSE:6701),2016,1000.1
NEC Corporation (TSE:6701),2017,1125.3
NEC Corporation (TSE:6701),2018,1109.8
NEC Corporation (TSE:6701),2019,1580.9
NEC Corporation (TSE:6701),2020,1314.7
NEC Corporation (TSE:6701),2021,1129.2
NEC Corporation (TSE:6701),2022,2178.6
NEC Corporation (TSE:6701),2023,2215.97
NEC Corporation (TSE:6701),2024,2553.68
NEC Corporation (TSE:6701),2025,2751.44
NEC Corporation (TSE:6701),2026,2907.43
NEC Corporation (TSE:6701),2027,3145.51
"NetApp, Inc. (NasdaqGS:NTAP)",2016,768
"NetApp, Inc. (NasdaqGS:NTAP)",2017,1043
"NetApp, Inc. (NasdaqGS:NTAP)",2018,1342
"NetApp, Inc. (NasdaqGS:NTAP)",2019,1120
"NetApp, Inc. (NasdaqGS:NTAP)",2020,1080
"NetApp, Inc. (NasdaqGS:NTAP)",2021,1363
"NetApp, Inc. (NasdaqGS:NTAP)",2022,1330
"NetApp, Inc. (NasdaqGS:NTAP)",2023,1643.44
"NetApp, Inc. (NasdaqGS:NTAP)",2024,1769.09
"NetApp, Inc. (NasdaqGS:NTAP)",2025,1838.02
"NetApp, Inc. (NasdaqGS:NTAP)",2026,1942.81
"NetApp, Inc. (NasdaqGS:NTAP)",2027,1739.142857142867
Textron Inc. (NYSE:TXT),2016,1586
Textron Inc. (NYSE:TXT),2017,1484
Textron Inc. (NYSE:TXT),2018,1585
Textron Inc. (NYSE:TXT),2019,1576
Textron Inc. (NYSE:TXT),2020,1020
Textron Inc. (NYSE:TXT),2021,1395
Textron Inc. (NYSE:TXT),2022,1507
Textron Inc. (NYSE:TXT),2023,1664.48
Textron Inc. (NYSE:TXT),2024,1780.07
Textron Inc. (NYSE:TXT),2025,1907.77
Textron Inc. (NYSE:TXT),2026,2099
Textron Inc. (NYSE:TXT),2027,2178
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2016,535.9
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2017,576.1
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2018,591.7
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2019,1055
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2020,1256
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2021,1404
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2022,1496
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2023,1854.54
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2024,1996.75
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2025,2133.57
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2026,2287.9142857141533
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2027,2473.642857142711
Waters Corporation (NYSE:WAT),2016,725
Waters Corporation (NYSE:WAT),2017,784
Waters Corporation (NYSE:WAT),2018,799.6
Waters Corporation (NYSE:WAT),2019,822.1
Waters Corporation (NYSE:WAT),2020,778
Waters Corporation (NYSE:WAT),2021,958.4
Waters Corporation (NYSE:WAT),2022,1014.1
Waters Corporation (NYSE:WAT),2023,1065.75
Waters Corporation (NYSE:WAT),2024,1147.22
Waters Corporation (NYSE:WAT),2025,1229.39
Waters Corporation (NYSE:WAT),2026,1260
Waters Corporation (NYSE:WAT),2027,1181.457142857226
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2016,36488.8
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2017,55673
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2018,62993.5
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2019,41750.6
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2020,48156.5
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2021,62905.1
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2022,60278.1
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2023,34179.49
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2024,57267.29
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2025,70286.39
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2026,78235.11
"Samsung Electronics Co., Ltd. (KOSE:A005930)",2027,82684.5
Vantiva S.A. (ENXTPA:VANTI),2016,331
Vantiva S.A. (ENXTPA:VANTI),2017,307.7
Vantiva S.A. (ENXTPA:VANTI),2018,232.4
Vantiva S.A. (ENXTPA:VANTI),2019,216.4
Vantiva S.A. (ENXTPA:VANTI),2020,2387.3
Vantiva S.A. (ENXTPA:VANTI),2021,99.7
Vantiva S.A. (ENXTPA:VANTI),2022,112.5
Vantiva S.A. (ENXTPA:VANTI),2023,152.25
Vantiva S.A. (ENXTPA:VANTI),2024,154.02
Vantiva S.A. (ENXTPA:VANTI),2025,164.72
Vantiva S.A. (ENXTPA:VANTI),2026,797.5642857143155
Vantiva S.A. (ENXTPA:VANTI),2027,836.257142857172
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2016,1747
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2017,1985
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2018,2100
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2019,2199
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2020,2368
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2021,2568
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2022,2636
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2023,2746.2
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2024,2797.24
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2025,2921.54
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2026,3370.55
Sirius XM Holdings Inc. (NasdaqGS:SIRI),2027,3858
"Teradyne, Inc. (NasdaqGS:TER)",2016,420.6
"Teradyne, Inc. (NasdaqGS:TER)",2017,648
"Teradyne, Inc. (NasdaqGS:TER)",2018,603.7
"Teradyne, Inc. (NasdaqGS:TER)",2019,650.4
"Teradyne, Inc. (NasdaqGS:TER)",2020,1023.9
"Teradyne, Inc. (NasdaqGS:TER)",2021,1334.9
"Teradyne, Inc. (NasdaqGS:TER)",2022,981.6
"Teradyne, Inc. (NasdaqGS:TER)",2023,671.8
"Teradyne, Inc. (NasdaqGS:TER)",2024,848.89
"Teradyne, Inc. (NasdaqGS:TER)",2025,1147.18
"Teradyne, Inc. (NasdaqGS:TER)",2026,1487.56
"Teradyne, Inc. (NasdaqGS:TER)",2027,1667.36
Thermo Fisher Scientific Inc. (NYSE:TMO),2016,4553
Thermo Fisher Scientific Inc. (NYSE:TMO),2017,5254
Thermo Fisher Scientific Inc. (NYSE:TMO),2018,6147
Thermo Fisher Scientific Inc. (NYSE:TMO),2019,6463
Thermo Fisher Scientific Inc. (NYSE:TMO),2020,10192
Thermo Fisher Scientific Inc. (NYSE:TMO),2021,44915
Thermo Fisher Scientific Inc. (NYSE:TMO),2022,11968
Thermo Fisher Scientific Inc. (NYSE:TMO),2023,10807.88
Thermo Fisher Scientific Inc. (NYSE:TMO),2024,11062.07
Thermo Fisher Scientific Inc. (NYSE:TMO),2025,12147.29
Thermo Fisher Scientific Inc. (NYSE:TMO),2026,13083.5
Thermo Fisher Scientific Inc. (NYSE:TMO),2027,14694
Northrop Grumman Corporation (NYSE:NOC),2016,3394
Northrop Grumman Corporation (NYSE:NOC),2017,4928
Northrop Grumman Corporation (NYSE:NOC),2018,5003
Northrop Grumman Corporation (NYSE:NOC),2019,4234
Northrop Grumman Corporation (NYSE:NOC),2020,5496
Northrop Grumman Corporation (NYSE:NOC),2021,8734
Northrop Grumman Corporation (NYSE:NOC),2022,7680
Northrop Grumman Corporation (NYSE:NOC),2023,5285.79
Northrop Grumman Corporation (NYSE:NOC),2024,5772.72
Northrop Grumman Corporation (NYSE:NOC),2025,6266.51
Northrop Grumman Corporation (NYSE:NOC),2026,6715.46
Northrop Grumman Corporation (NYSE:NOC),2027,6977.5
"Motorola Solutions, Inc. (NYSE:MSI)",2016,1542
"Motorola Solutions, Inc. (NYSE:MSI)",2017,1678
"Motorola Solutions, Inc. (NYSE:MSI)",2018,1838
"Motorola Solutions, Inc. (NYSE:MSI)",2019,2121
"Motorola Solutions, Inc. (NYSE:MSI)",2020,1932
"Motorola Solutions, Inc. (NYSE:MSI)",2021,2288
"Motorola Solutions, Inc. (NYSE:MSI)",2022,2504
"Motorola Solutions, Inc. (NYSE:MSI)",2023,3014.91
"Motorola Solutions, Inc. (NYSE:MSI)",2024,3206.78
"Motorola Solutions, Inc. (NYSE:MSI)",2025,3480.47
"Motorola Solutions, Inc. (NYSE:MSI)",2026,3699
"Motorola Solutions, Inc. (NYSE:MSI)",2027,3960
Bayer Aktiengesellschaft (XTRA:BAYN),2016,9458.9
Bayer Aktiengesellschaft (XTRA:BAYN),2017,9543.8
Bayer Aktiengesellschaft (XTRA:BAYN),2018,7580.9
Bayer Aktiengesellschaft (XTRA:BAYN),2019,11469.5
Bayer Aktiengesellschaft (XTRA:BAYN),2020,10641.9
Bayer Aktiengesellschaft (XTRA:BAYN),2021,11540.6
Bayer Aktiengesellschaft (XTRA:BAYN),2022,13480.1
Bayer Aktiengesellschaft (XTRA:BAYN),2023,11856.2
Bayer Aktiengesellschaft (XTRA:BAYN),2024,12717.25
Bayer Aktiengesellschaft (XTRA:BAYN),2025,13195.98
Bayer Aktiengesellschaft (XTRA:BAYN),2026,12332.45
Bayer Aktiengesellschaft (XTRA:BAYN),2027,12636.6
Xerox Holdings Corporation (NasdaqGS:XRX),2016,1509
Xerox Holdings Corporation (NasdaqGS:XRX),2017,1346
Xerox Holdings Corporation (NasdaqGS:XRX),2018,1340
Xerox Holdings Corporation (NasdaqGS:XRX),2019,1500
Xerox Holdings Corporation (NasdaqGS:XRX),2020,656
Xerox Holdings Corporation (NasdaqGS:XRX),2021,661
Xerox Holdings Corporation (NasdaqGS:XRX),2022,449
Xerox Holdings Corporation (NasdaqGS:XRX),2023,601.98
Xerox Holdings Corporation (NasdaqGS:XRX),2024,604.61
Xerox Holdings Corporation (NasdaqGS:XRX),2025,615.89
Xerox Holdings Corporation (NasdaqGS:XRX),2026,664
