Company,Year,Value,2023,2024,2025,2026,2027
BlackBerry Limited (TSX:BB),2018.0,209.0,,,,,
BlackBerry Limited (TSX:BB),2019.0,250.0,,,,,
BlackBerry Limited (TSX:BB),2020.0,262.0,,,,,
BlackBerry Limited (TSX:BB),2021.0,248.0,,,,,
BlackBerry Limited (TSX:BB),2022.0,247.0,,,,,
BlackBerry Limited (TSX:BB),,,83.14285714286123,20.678571428573434,-41.785714285714356,-104.25000000000215,-166.71428571428993
BorgWarner Inc. (NYSE:BWA),2016.0,7142.3,,,,,
BorgWarner Inc. (NYSE:BWA),2017.0,7684.0,,,,,
BorgWarner Inc. (NYSE:BWA),2018.0,8300.0,,,,,
BorgWarner Inc. (NYSE:BWA),2019.0,8067.0,,,,,
BorgWarner Inc. (NYSE:BWA),2020.0,8255.0,,,,,
BorgWarner Inc. (NYSE:BWA),2021.0,11983.0,,,,,
BorgWarner Inc. (NYSE:BWA),2022.0,12700.0,,,,,
BorgWarner Inc. (NYSE:BWA),,,12765.342857142867,13666.27499999994,14567.20714285701,15468.139285714084,16369.071428571157
Boston Scientific Corporation (NYSE:BSX),2016.0,2447.0,,,,,
Boston Scientific Corporation (NYSE:BSX),2017.0,2606.0,,,,,
Boston Scientific Corporation (NYSE:BSX),2018.0,2830.0,,,,,
Boston Scientific Corporation (NYSE:BSX),2019.0,3103.0,,,,,
Boston Scientific Corporation (NYSE:BSX),2020.0,3242.0,,,,,
Boston Scientific Corporation (NYSE:BSX),2021.0,3760.0,,,,,
Boston Scientific Corporation (NYSE:BSX),2022.0,4003.0,,,,,
Boston Scientific Corporation (NYSE:BSX),,,4196.999999999831,4460.857142856955,4724.714285714079,4988.571428571204,5252.428571428328
"Brother Industries, Ltd. (TSE:6448)",2016.0,2447.19,,,,,
"Brother Industries, Ltd. (TSE:6448)",2017.0,2706.89,,,,,
"Brother Industries, Ltd. (TSE:6448)",2018.0,2703.07,,,,,
"Brother Industries, Ltd. (TSE:6448)",2019.0,2432.45,,,,,
"Brother Industries, Ltd. (TSE:6448)",2020.0,2275.77,,,,,
"Brother Industries, Ltd. (TSE:6448)",2021.0,2621.95,,,,,
"Brother Industries, Ltd. (TSE:6448)",2022.0,3195.65,,,,,
"Brother Industries, Ltd. (TSE:6448)",,,2861.595714285726,2920.460000000008,2979.3242857142905,3038.1885714285722,3097.0528571428545
Bruker Corporation (NasdaqGS:BRKR),2016.0,855.0,,,,,
Bruker Corporation (NasdaqGS:BRKR),2017.0,944.3,,,,,
Bruker Corporation (NasdaqGS:BRKR),2018.0,989.1,,,,,
Bruker Corporation (NasdaqGS:BRKR),2019.0,1072.0,,,,,
Bruker Corporation (NasdaqGS:BRKR),2020.0,1043.9,,,,,
Bruker Corporation (NasdaqGS:BRKR),2021.0,1204.2,,,,,
Bruker Corporation (NasdaqGS:BRKR),2022.0,1223.7,,,,,
Bruker Corporation (NasdaqGS:BRKR),,,1287.557142857025,1347.5821428570214,1407.6071428570178,1467.6321428570145,1527.657142857011
Canon Inc. (TSE:7751),2016.0,11596.96,,,,,
Canon Inc. (TSE:7751),2017.0,14010.72,,,,,
Canon Inc. (TSE:7751),2018.0,14191.25,,,,,
Canon Inc. (TSE:7751),2019.0,13298.64,,,,,
Canon Inc. (TSE:7751),2020.0,11964.99,,,,,
Canon Inc. (TSE:7751),2021.0,12643.51,,,,,
Canon Inc. (TSE:7751),2022.0,14776.15,,,,,
Canon Inc. (TSE:7751),,,13865.587142857079,14029.04749999995,14192.50785714282,14355.968214285693,14519.428571428563
"Casio Computer Co.,Ltd. (TSE:6952)",2016.0,1279.75,,,,,
"Casio Computer Co.,Ltd. (TSE:6952)",2017.0,1222.91,,,,,
"Casio Computer Co.,Ltd. (TSE:6952)",2018.0,1136.62,,,,,
"Casio Computer Co.,Ltd. (TSE:6952)",2019.0,1143.72,,,,,
"Casio Computer Co.,Ltd. (TSE:6952)",2020.0,869.77,,,,,
"Casio Computer Co.,Ltd. (TSE:6952)",2021.0,959.14,,,,,
"Casio Computer Co.,Ltd. (TSE:6952)",2022.0,994.7,,,,,
"Casio Computer Co.,Ltd. (TSE:6952)",,,851.0099999999895,792.09785714285,733.1857142857104,674.273571428571,615.3614285714316
Ciena Corporation (NYSE:CIEN),2016.0,1465.04,,,,,
Ciena Corporation (NYSE:CIEN),2017.0,1582.56,,,,,
Ciena Corporation (NYSE:CIEN),2018.0,1860.41,,,,,
Ciena Corporation (NYSE:CIEN),2019.0,2037.26,,,,,
Ciena Corporation (NYSE:CIEN),2020.0,1816.13,,,,,
Ciena Corporation (NYSE:CIEN),2021.0,1966.67,,,,,
Ciena Corporation (NYSE:CIEN),2022.0,2212.64,,,,,
Ciena Corporation (NYSE:CIEN),,,2272.4928571429173,2378.447857142912,2484.402857142907,2590.357857142902,2696.312857142897
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2016.0,17663.0,,,,,
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2017.0,18121.0,,,,,
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2018.0,19225.0,,,,,
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2019.0,18575.0,,,,,
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2020.0,17206.0,,,,,
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2021.0,18918.0,,,,,
"Cisco Systems, Inc. (NasdaqGS:CSCO)",2022.0,20242.0,,,,,
"Cisco Systems, Inc. (NasdaqGS:CSCO)",,,19608.857142858702,19870.000000001546,20131.14285714439,20392.285714287234,20653.42857143008
Coherent Corp. (NYSE:COHR),2016.0,547.77,,,,,
Coherent Corp. (NYSE:COHR),2017.0,639.82,,,,,
Coherent Corp. (NYSE:COHR),2018.0,770.85,,,,,
Coherent Corp. (NYSE:COHR),2019.0,1086.85,,,,,
Coherent Corp. (NYSE:COHR),2020.0,1750.24,,,,,
Coherent Corp. (NYSE:COHR),2021.0,1987.59,,,,,
Coherent Corp. (NYSE:COHR),2022.0,2769.07,,,,,
Coherent Corp. (NYSE:COHR),,,2841.5742857141845,3210.818214285584,3580.0621428569834,3949.306071428383,4318.549999999783
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2016.0,2894.37,,,,,
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2017.0,2855.1,,,,,
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2018.0,2935.2,,,,,
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2019.0,5722.2,,,,,
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2020.0,5688.1,,,,,
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2021.0,5902.4,,,,,
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",2022.0,6424.0,,,,,
"CommScope Holding Company, Inc. (NasdaqGS:COMM)",,,7408.251428571293,8102.408214285529,8796.564999999764,9490.721785713999,10184.878571428235
Continental Aktiengesellschaft (XTRA:CON),2016.0,31600.0,,,,,
Continental Aktiengesellschaft (XTRA:CON),2017.0,34625.99,,,,,
Continental Aktiengesellschaft (XTRA:CON),2018.0,35331.03,,,,,
Continental Aktiengesellschaft (XTRA:CON),2019.0,35961.17,,,,,
Continental Aktiengesellschaft (XTRA:CON),2020.0,25857.4,,,,,
Continental Aktiengesellschaft (XTRA:CON),2021.0,27612.63,,,,,
Continental Aktiengesellschaft (XTRA:CON),2022.0,32997.98,,,,,
Continental Aktiengesellschaft (XTRA:CON),,,29239.969999999852,28550.455357142804,27860.94071428576,27171.426071428712,26481.911428571664
Coolpad Group Limited (OTCPK:CHWT.F),2016.0,973.71,,,,,
Coolpad Group Limited (OTCPK:CHWT.F),2017.0,472.66,,,,,
Coolpad Group Limited (OTCPK:CHWT.F),2018.0,172.51,,,,,
Coolpad Group Limited (OTCPK:CHWT.F),2019.0,182.36,,,,,
Coolpad Group Limited (OTCPK:CHWT.F),2020.0,88.19,,,,,
Coolpad Group Limited (OTCPK:CHWT.F),2021.0,80.44,,,,,
Coolpad Group Limited (OTCPK:CHWT.F),2022.0,45.01,,,,,
Coolpad Group Limited (OTCPK:CHWT.F),,,-234.2828571428891,-364.81357142860134,-495.34428571431357,-625.8750000000258,-756.405714285738
DENSO Corporation (TSE:6902),2016.0,24944.01,,,,,
DENSO Corporation (TSE:6902),2017.0,27357.98,,,,,
DENSO Corporation (TSE:6902),2018.0,30456.81,,,,,
DENSO Corporation (TSE:6902),2019.0,30327.03,,,,,
DENSO Corporation (TSE:6902),2020.0,27928.12,,,,,
DENSO Corporation (TSE:6902),2021.0,30863.64,,,,,
DENSO Corporation (TSE:6902),2022.0,35511.58,,,,,
DENSO Corporation (TSE:6902),,,34796.35857142969,36088.692142858206,37381.02571428671,38673.359285715225,39965.69285714373
"Daikin Industries,Ltd. (TSE:6367)",2016.0,8624.17,,,,,
"Daikin Industries,Ltd. (TSE:6367)",2017.0,9790.51,,,,,
"Daikin Industries,Ltd. (TSE:6367)",2018.0,10672.61,,,,,
"Daikin Industries,Ltd. (TSE:6367)",2019.0,11150.49,,,,,
"Daikin Industries,Ltd. (TSE:6367)",2020.0,10682.67,,,,,
"Daikin Industries,Ltd. (TSE:6367)",2021.0,13000.97,,,,,
"Daikin Industries,Ltd. (TSE:6367)",2022.0,16999.58,,,,,
"Daikin Industries,Ltd. (TSE:6367)",,,16068.31571428616,17195.358928571797,18322.40214285743,19449.445357143064,20576.4885714287
Danaher Corporation (NYSE:DHR),2016.0,7522.4,,,,,
Danaher Corporation (NYSE:DHR),2017.0,6947.5,,,,,
Danaher Corporation (NYSE:DHR),2018.0,7544.0,,,,,
Danaher Corporation (NYSE:DHR),2019.0,7927.0,,,,,
Danaher Corporation (NYSE:DHR),2020.0,9241.0,,,,,
Danaher Corporation (NYSE:DHR),2021.0,11397.0,,,,,
Danaher Corporation (NYSE:DHR),2022.0,12522.0,,,,,
Danaher Corporation (NYSE:DHR),,,12670.814285714385,13584.914285714302,14499.01428571422,15413.114285714137,16327.214285714053
Dassault Aviation société anonyme (ENXTPA:AM),2016.0,2175.68,,,,,
Dassault Aviation société anonyme (ENXTPA:AM),2017.0,3364.27,,,,,
Dassault Aviation société anonyme (ENXTPA:AM),2018.0,3543.33,,,,,
Dassault Aviation société anonyme (ENXTPA:AM),2019.0,5315.99,,,,,
Dassault Aviation société anonyme (ENXTPA:AM),2020.0,4254.57,,,,,
